ExperimentName,Subject,Session,Age,Group,Handedness,Sex,Label,Identity,Shape,Target.ACC,Target.RESP,Target.RT
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,590
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,948
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,626
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,624
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,750
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,660
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,626
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,728
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,551
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,901
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,0,,0
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,825
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,0,n,791
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,861
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,923
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,665
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,839
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,511
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,639
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,511
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,1,m,823
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,757
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,602
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,490
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,1,m,800
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,622
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,708
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,642
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,688
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,598
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,556
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,650
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,1,m,648
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,706
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,536
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,1,m,663
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,1,m,605
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,539
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,769
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,591
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,509
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,658
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,536
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,552
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,648
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,664
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,696
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,552
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,598
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,1,m,676
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,730
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,512
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,830
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,668
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,762
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,632
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,526
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,684
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,714
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,648
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,638
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,716
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,762
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,1008
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,0,m,446
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,540
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,793
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,616
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,653
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,740
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,0,,0
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,0,n,674
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,0,n,584
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,0,m,518
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,0,n,620
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,0,,0
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,0,,0
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,0,m,550
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,742
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,862
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,534
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,942
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,726
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,940
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,770
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,632
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,0,m,502
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,0,n,836
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,562
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,544
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,950
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,419
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,826
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,0,,0
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,725
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,659
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,689
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,943
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,861
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,571
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,0,n,481
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,0,n,567
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,0,,0
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,661
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,657
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,0,n,416
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,0,,0
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,516
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,842
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,0,m,544
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,818
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,500
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,0,n,538
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,536
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,0,,0
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,447
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,669
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,451
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,657
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,583
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,533
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,523
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,529
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,0,m,511
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,0,n,509
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,619
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,705
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,583
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,1,m,741
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,1,m,723
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,0,n,802
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,0,m,600
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,614
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,580
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,698
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,568
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,0,n,558
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,588
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,826
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,521
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,729
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,441
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,1,m,793
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,593
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,537
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,593
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,625
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,631
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,869
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,595
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,705
breaking_mn,12,1,24,2,right,female,friend,Friend,S.bmp,1,n,575
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,749
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,491
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,633
breaking_mn,12,1,24,2,right,female,stranger,Self,C.bmp,1,m,719
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,533
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,699
breaking_mn,12,1,24,2,right,female,friend,Self,C.bmp,1,n,521
breaking_mn,12,1,24,2,right,female,self,Self,C.bmp,1,n,759
breaking_mn,12,1,24,2,right,female,stranger,Friend,S.bmp,1,n,1053
breaking_mn,12,1,24,2,right,female,stranger,stranger,T.bmp,1,n,675
breaking_mn,12,1,24,2,right,female,self,Friend,S.bmp,1,m,632
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,558
breaking_mn,12,1,24,2,right,female,self,stranger,T.bmp,1,n,717
breaking_mn,12,1,24,2,right,female,friend,stranger,T.bmp,1,m,858
