"Subject","Identity","d_prime"
43329048,"Self",3.91581771808337
58808278,"Self",4.78795959963702
143288504,"Self",2.20938136541021
158480856,"Self",3.47876826276739
159880209,"Self",2.23772810446466
164217457,"Self",4.25609046836997
171377257,"Self",2.92640519249607
176639505,"Self",3.9619598700009
292275968,"Self",3.3098961573452
317199364,"Self",2.975571601204
320497782,"Self",1.6218332023897
452046834,"Self",3.40959679972958
502388078,"Self",4.02450054438576
502841139,"Self",2.04875047155266
573337679,"Self",3.77289886113646
689464470,"Self",1.58672833561048
694585541,"Self",3.47876826276739
739685494,"Self",2.53594275698558
741263121,"Self",3.48814331717144
846210221,"Self",4.52202503400349
890488901,"Self",3.66782927163183
898800673,"Self",3.47060628248931
906161431,"Self",4.242558604908
922921399,"Self",4.22789443563442
943049227,"Self",4.78178869753087
43329048,"Friend",2.42445263899857
58808278,"Friend",4.78795959963702
143288504,"Friend",2.098788387574
158480856,"Friend",3.62044941250534
159880209,"Friend",2.0006155628457
164217457,"Friend",2.78263751158863
171377257,"Friend",2.75683359447772
176639505,"Friend",2.88408007314466
292275968,"Friend",1.9360371408685
317199364,"Friend",2.35041569320234
320497782,"Friend",0.996947766004033
452046834,"Friend",2.48332854655972
502388078,"Friend",3.28970725390294
502841139,"Friend",1.89285331906515
573337679,"Friend",2.48332854655972
689464470,"Friend",2.11483316524318
694585541,"Friend",3.66782927163183
739685494,"Friend",1.80104483869539
741263121,"Friend",1.89163110461788
846210221,"Friend",3.66782927163183
890488901,"Friend",4.25609046836997
898800673,"Friend",3.47876826276739
906161431,"Friend",2.86624364569744
922921399,"Friend",3.1459395729955
943049227,"Friend",3.47120992489538
43329048,"Stranger",1.60588438359579
58808278,"Stranger",4.52202503400349
143288504,"Stranger",1.27484014391742
158480856,"Stranger",2.77395574386496
159880209,"Stranger",3.41439467426764
164217457,"Stranger",2.88408007314466
171377257,"Stranger",3.28970725390294
176639505,"Stranger",3.20935042504454
292275968,"Stranger",1.87868284184393
317199364,"Stranger",2.5556317377262
320497782,"Stranger",1.51730406840707
452046834,"Stranger",2.11525227307398
502388078,"Stranger",3.47120992489538
502841139,"Stranger",1.63630645527168
573337679,"Stranger",2.88408007314466
689464470,"Stranger",2.23339326652065
694585541,"Stranger",2.88408007314466
739685494,"Stranger",1.9523928502097
741263121,"Stranger",2.45526838617331
846210221,"Stranger",4.50836057134607
890488901,"Stranger",3.50427342955464
898800673,"Stranger",3.28970725390294
906161431,"Stranger",2.66454569264524
922921399,"Stranger",3.9619598700009
943049227,"Stranger",4.22789443563442
